first_name,last_name,company,source_url,title,email,linkedin_url,phone
Gary,Gary,Hellman & Friedman,https://hf.com/people/,partner,gary.gary@hf.com,,
Brian,Brian,Hellman & Friedman,https://hf.com/people/,partner,brian.brian@hf.com,,
David,David,Hellman & Friedman,https://hf.com/people/,partner,david.david@hf.com,,
Jackson,Jackson,Hellman & Friedman,https://hf.com/people/,associate,jackson.jackson@hf.com,,
Robert,Robert,Hellman & Friedman,https://hf.com/people/,associate,robert.robert@hf.com,,
George,George,Hellman & Friedman,https://hf.com/people/,associate,george.george@hf.com,,
Scott,Scott,Thoma Bravo,https://www.thomabravo.com/team,partner,scott.scott@www.thomabravo.com,,
Lee,Lee,Thoma Bravo,https://www.thomabravo.com/team,partner,lee.lee@www.thomabravo.com,,
Daniel,Daniel,Thoma Bravo,https://www.thomabravo.com/team,associate,daniel.daniel@www.thomabravo.com,,
James,James,Thoma Bravo,https://www.thomabravo.com/team,president,james.james@www.thomabravo.com,,
Michael,Michael,Thoma Bravo,https://www.thomabravo.com/team,president,michael.michael@www.thomabravo.com,,
Joe,Joe,Thoma Bravo,https://www.thomabravo.com/team,president,joe.joe@www.thomabravo.com,,
Peter,Peter,Thoma Bravo,https://www.thomabravo.com/team,president,peter.peter@www.thomabravo.com,,
Brian,Brian,Thoma Bravo,https://www.thomabravo.com/team,partner,brian.brian@www.thomabravo.com,,
Anthony,Anthony,Thoma Bravo,https://www.thomabravo.com/team,president,anthony.anthony@www.thomabravo.com,,
Charles,Charles,Thoma Bravo,https://www.thomabravo.com/team,associate,charles.charles@www.thomabravo.com,,
John,John,Thoma Bravo,https://www.thomabravo.com/team,associate,john.john@www.thomabravo.com,,
Mark,Mark,Thoma Bravo,https://www.thomabravo.com/team,partner,mark.mark@www.thomabravo.com,,
Gary,Gary,Thoma Bravo,https://www.thomabravo.com/team,partner,gary.gary@www.thomabravo.com,,
