first_name,last_name,company,source_url,title,email,linkedin_url,phone
Strategy,Strategy,Blackstone Capital,https://www.blackstone.com/the-firm/our-people/,Relations,strategy.strategy@www.blackstone.com,,
Kirkland,Kirkland,Blackstone Capital,https://www.blackstone.com/the-firm/our-people/,Ellis,kirkland.kirkland@www.blackstone.com,,
Ogilvy,Ogilvy,Blackstone Capital,https://www.blackstone.com/the-firm/our-people/,Worldwide,ogilvy.ogilvy@www.blackstone.com,,
Alphabet,Alphabet,Blackstone Capital,https://www.blackstone.com/the-firm/our-people/,Google,alphabet.alphabet@www.blackstone.com,,
Managing,Managing,Blackstone Capital,https://www.blackstone.com/the-firm/our-people/,Partner,managing.managing@www.blackstone.com,,
Darren,Darren,Bain Capital,https://www.baincapital.com/people,Boston,darren.darren@www.baincapital.com,,
Compliance,Compliance,Bain Capital,https://www.baincapital.com/people,London,compliance.compliance@www.baincapital.com,,
Anna,Anna,Bain Capital,https://www.baincapital.com/people,Boston,anna.anna@www.baincapital.com,,
Tara,Tara,Bain Capital,https://www.baincapital.com/people,Boston,tara.tara@www.baincapital.com,,
Grayson,Grayson,Bain Capital,https://www.baincapital.com/people,Boston,grayson.grayson@www.baincapital.com,,
Eric,Eric,Bain Capital,https://www.baincapital.com/people,Boston,eric.eric@www.baincapital.com,,
Patrick,Patrick,Bain Capital,https://www.baincapital.com/people,Francisco,patrick.patrick@www.baincapital.com,,
Maria,Maria,Bain Capital,https://www.baincapital.com/people,London,maria.maria@www.baincapital.com,,
Guillermo,Guillermo,Bain Capital,https://www.baincapital.com/people,Francisco,guillermo.guillermo@www.baincapital.com,,
Ernesto,Ernesto,Bain Capital,https://www.baincapital.com/people,Boston,ernesto.ernesto@www.baincapital.com,,
Tim,Tim,Bain Capital,https://www.baincapital.com/people,London,tim.tim@www.baincapital.com,,
Paul,Paul,Bain Capital,https://www.baincapital.com/people,Boston,paul.paul@www.baincapital.com,,
MD,MD,Bain Capital,https://www.baincapital.com/people,Boston,md.md@www.baincapital.com,,
Carlos,Carlos,Bain Capital,https://www.baincapital.com/people,Boston,carlos.carlos@www.baincapital.com,,
Cristina,Cristina,Bain Capital,https://www.baincapital.com/people,Madrid,cristina.cristina@www.baincapital.com,,
Ken,Ken,Bain Capital,https://www.baincapital.com/people,Tokyo,ken.ken@www.baincapital.com,,
Emily,Emily,Bain Capital,https://www.baincapital.com/people,Boston,emily.emily@www.baincapital.com,,
Treasury,Treasury,Bain Capital,https://www.baincapital.com/people,Boston,treasury.treasury@www.baincapital.com,,
Alon,Alon,Bain Capital,https://www.baincapital.com/people,London,alon.alon@www.baincapital.com,,
Dewey,Dewey,Bain Capital,https://www.baincapital.com/people,Boston,dewey.dewey@www.baincapital.com,,
Lukas,Lukas,Bain Capital,https://www.baincapital.com/people,Boston,lukas.lukas@www.baincapital.com,,
